HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017",is_electronics
84818090,848180,42,Intermediate,376347136,340002912,384681248,469376064,142885248,367010432.0,True
84821010,848210,42,Intermediate,15956033,10276894,13107255,15394233,5507601,13113394.0,True
84831010,848310,42,Intermediate,21741614,23921028,30964012,54405208,21075142,25542218.0,True
84831030,848310,42,Intermediate,54403392,30184348,33294414,42343952,17220930,39294052.0,True
84831050,848310,42,Intermediate,138809808,134775200,169681088,224124432,67390272,147755360.0,True
84832040,848320,42,Intermediate,22415714,19789738,24966628,30387692,8458229,22390694.0,True
84832080,848320,42,Intermediate,13419226,15075937,18734112,24972480,8738078,15743092.0,True
84834050,848340,42,Intermediate,489428000,335935968,233918768,363733088,197729744,353094240.0,True
84834070,848340,42,Intermediate,11953798,4763219,8606360,18055422,8897022,8441126.0,True
84835040,848350,42,Intermediate,319895,246536,291148,1072058,129735,285859.6563,True
84836080,848360,42,Intermediate,12823888,11939830,14741187,18390908,6639180,13168302.0,True
84839050,848390,42,Intermediate,204113120,185357392,209858848,279209888,88962408,199776448.0,True
85014020,850140,41,Capital,71173008,70603712,65045796,87220976,29664130,68940840.0,True
85014040,850140,41,Capital,345792768,341472416,359560448,419950080,134382240,348941888.0,True
85014050,850140,41,Capital,9842568,10321816,12042851,16259347,2171336,10735745.0,True
85014060,850140,41,Capital,79434256,81728576,96794312,105743728,32866980,85985712.0,True
85016100,850161,41,Capital,24368186,21783528,37901128,66674528,21193922,28017614.0,True
85022000,850220,41,Capital,321598336,337090880,516925824,879315392,98457928,391871680.0,True
85043120,850431,41,Capital,120206512,102035280,101212896,96923280,19854408,107818232.0,True
85043140,850431,41,Capital,108915656,109607136,117185512,124131696,36592668,111902768.0,True
85043160,850431,41,Capital,14836097,12256661,13191160,7696599,1797453,13427973.0,True
85044060,850440,41,Capital,606038592,530064288,529360768,565729024,112423360,555154560.0,True
85044070,850440,41,Capital,607575424,613152448,602014592,618666688,121522840,607580800.0,True
85044085,850440,41,Capital,966597504,887741632,926226880,974464448,238807488,926855360.0,True
85044095,850440,41,Capital,2268244224,2110748544,2266664192,2677646848,746588224,2215218944.0,True
85045040,850450,41,Capital,95622080,110889256,92259464,133781960,22493412,99590264.0,True
85045080,850450,41,Capital,154600912,192188208,192884864,216167824,54131104,179891328.0,True
85049020,850490,42,Intermediate,23508564,27417660,17803602,26326044,7712541,22909942.0,True
85051920,850519,41,Capital,6862830,8024623,7922128,12638734,3115482,7603193.5,True
85051930,850519,41,Capital,52520724,53053464,58229912,66981208,11911769,54601368.0,True
85061000,850610,63,Consumption,155917872,163764944,205721264,262503392,69868720,175134688.0,True
85063010,850630,63,Consumption,72150,49576,470110,358267,131374,197278.6719,True
85063050,850630,63,Consumption,346113,375549,182185,263351,134364,301282.3438,True
85068000,850680,63,Consumption,56554972,58165716,52282548,36923756,3534024,55667744.0,True
85071000,850710,53,Intermediate,59128216,91739280,77580072,78910584,19784948,76149192.0,True
85072040,850720,53,Intermediate,910504,600469,474945,5093320,772050,661972.6875,True
85072080,850720,53,Intermediate,298614528,274840960,304065984,358128064,63387932,292507168.0,True
85073040,850730,53,Intermediate,142435,192453,176817,868946,50509,170568.3281,True
85074040,850740,53,Intermediate,126823,36300,3696,20124,4995,55606.33203,True
85074080,850740,53,Intermediate,646926,682891,519773,743511,255762,616530.0,True
85075000,850750,53,Intermediate,72025040,58029920,58967920,57011608,15666694,63007628.0,True
85081100,850811,61,Consumption,1530674944,1473095680,1711315456,1990219648,381255808,1571695360.0,True
85081900,850819,0,Multiple,41309620,48724380,61073436,150700176,9023097,50369144.0,True
85086000,850860,0,Multiple,16262194,24454672,32992962,42200772,5547133,24569942.0,True
85087000,850870,0,Multiple,83630208,74917416,91211656,98295184,25914350,83253096.0,True
85098020,850980,61,Consumption,38146260,43698160,52222584,58340392,12842831,44689000.0,True
85099025,850990,22,Intermediate,103648,55839,34723,613612,191825,64736.66797,True
85099035,850990,22,Intermediate,580290,1019129,1845503,1761000,295232,1148307.375,True
85099045,850990,22,Intermediate,4259649,3540158,3425312,1211017,271820,3741706.25,True
85099055,850990,22,Intermediate,134420528,145338144,170329248,159992704,20735576,150029312.0,True
85102010,851020,61,Consumption,4784404,4431124,1804104,1939530,433784,3673210.75,True
85102090,851020,61,Consumption,158171904,118540768,115843616,112823096,28700384,130852096.0,True
85109010,851090,22,Intermediate,3121772,3976462,5049146,5324977,2329007,4049126.75,True
85109020,851090,22,Intermediate,8420416,4671707,5318041,4708891,1208183,6136721.5,True
85109030,851090,22,Intermediate,563095,703983,1283178,1090080,205212,850085.3125,True
85109040,851090,22,Intermediate,29448198,17872084,18108192,31112714,8973460,21809492.0,True
