HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
85015150,850151,41,Capital,718324,1517809,1398371,850982,481435,1211501.375
85015160,850151,41,Capital,7967071,9734733,12131109,9718065,1795430,9944304
85015280,850152,41,Capital,77799320,67792256,89790912,89891184,21627138,78460832
85015340,850153,41,Capital,11916524,11777472,18202316,21203164,13380398,13965437
85015380,850153,41,Capital,41361900,27862316,40948060,33903568,7644939,36724092
85016200,850162,41,Capital,11889233,20036580,23999556,42877660,17262036,18641790
85016300,850163,41,Capital,465329,8235321,12119059,13696794,4594123,6939903
85016400,850164,41,Capital,62876608,67692240,52784400,51307244,11493351,61117748
85021100,850211,41,Capital,24891128,21896240,21618786,26989192,12503120,22802052
85021200,850212,41,Capital,6279525,4127601,12828965,9501343,488786,7745363.5
85021300,850213,41,Capital,2312885,2772495,2483019,2995421,153166,2522799.75
85023100,850231,41,Capital,26363162,36249580,53280636,794519,278194,38631128
85023900,850239,41,Capital,4731965,1919547,2118311,3894434,889921,2923274.25
85024000,850240,41,Capital,379357,512358,301908,1481088,84594,397874.3438
85030020,850300,42,Intermediate,8285212,6206361,7494348,7313586,1672605,7328640.5
85030035,850300,42,Intermediate,7249670,5295092,5695974,5840053,1771801,6080245.5
85030045,850300,42,Intermediate,1884651,2064271,2195443,1557283,21129,2048121.625
85030065,850300,42,Intermediate,73813968,60132992,61628852,88843624,46035120,65191936
85030075,850300,42,Intermediate,1729557,2032822,3053481,3373350,772202,2271953.25
85030090,850300,42,Intermediate,4766880,2748826,1269149,1651941,342309,2928285
85042100,850421,41,Capital,1536780,1023762,2741949,3613628,1151924,1767497
85042200,850422,41,Capital,3139363,1576425,1091852,1762902,752367,1935880
85042300,850423,41,Capital,50722984,29637696,18864854,25908236,9051768,33075178
85043200,850432,41,Capital,31023628,33540950,31149060,24726380,5808091,31904546
85043300,850433,41,Capital,5129773,5716328,6098376,6613245,1719674,5648159
85043400,850434,41,Capital,8672948,8611086,10412523,16844836,8269363,9232186
85044040,850440,41,Capital,170323520,178645712,209159536,194252160,35295212,186042928
85049041,850490,42,Intermediate,0,15034448,39077172,33215656,3529838,18037206
85049065,850490,42,Intermediate,17818328,18133908,20204988,21286700,6765311,18719074
85049075,850490,42,Intermediate,44626060,37399480,37827888,38017220,10486813,39951144
85049096,850490,42,Intermediate,0,62819000,176743648,192844624,42314800,79854216
85051910,850519,41,Capital,6983005,7715191,7675259,5805360,1313264,7457818.5
85052000,850520,41,Capital,16118407,15982291,20868064,19021740,6816675,17656254
85059030,850590,41,Capital,2842908,2990960,2800665,2172390,58983,2878177.75
85059040,850590,41,Capital,6983931,7094252,9092820,4346899,206822,7723667.5
85059070,850590,41,Capital,0,315263,471637,514691,281864,262300
